                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6381,                 3.1521,                 1.7311,                0.33941,                0.45455,                0.35652,                0.15396,                  1.649,                 26.882,                  1.772,               0.000659,               0.000659,               0.000659
                      2,                 1.7645,                 2.4749,                 1.7571,                0.19086,                0.26136,                0.15394,                0.04457,                 2.1696,                  22.06,                 3.0152,              0.0013125,              0.0013125,              0.0013125
                      3,                 1.8124,                 2.0197,                  1.817,                0.59955,                0.45455,                 0.4055,                0.14278,                  1.847,                 8.3406,                 2.0429,              0.0019529,              0.0019529,              0.0019529
                      4,                 1.8154,                 1.8111,                 1.7704,                0.61574,                0.70455,                0.65893,                0.28285,                 1.5077,                 6.4789,                  1.556,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7231,                 1.6135,                 1.7114,                0.78055,                0.82955,                0.83376,                0.47092,                 1.2025,                 3.5033,                 1.2971,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.6993,                 1.5456,                 1.7077,                0.82378,                0.79545,                0.88509,                0.46109,                 1.4098,                 1.6574,                 1.4523,               0.001901,               0.001901,               0.001901
                      7,                 1.6405,                  1.384,                 1.6161,                0.77085,                 0.8028,                 0.8442,                0.50589,                 1.2382,                  1.344,                 1.3366,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5717,                 1.2834,                  1.607,                0.79388,                0.83159,                0.88625,                0.49482,                 1.2062,                   1.42,                  1.273,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5782,                  1.294,                 1.5975,                0.79955,                0.77057,                0.80602,                0.42423,                 1.2988,                 1.9401,                 1.3356,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5059,                 1.2284,                 1.5153,                0.91189,                0.82327,                0.92631,                0.50703,                 1.3566,                 1.1507,                 1.3334,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4352,                 1.1675,                 1.4862,                0.87287,                  0.875,                0.91043,                0.52812,                 1.2555,                 1.0056,                 1.2637,               0.001802,               0.001802,               0.001802
                     12,                 1.4741,                 1.1527,                 1.5104,                0.92987,                0.90414,                 0.9693,                0.58489,                 1.1669,                 1.1926,                 1.2284,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4833,                 1.1161,                 1.5252,                0.89823,                0.90909,                0.95486,                0.57792,                 1.0951,                 1.1345,                 1.1749,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4573,                 1.1131,                 1.4836,                0.88278,                0.84091,                0.93295,                0.56092,                  1.116,                 1.0327,                 1.1529,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4479,                 1.1792,                 1.4831,                0.85476,                0.89773,                0.94867,                 0.5924,                 1.1627,                 1.0881,                 1.2519,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4785,                 1.0897,                 1.5271,                0.84654,                0.81494,                0.88259,                0.50765,                 1.1721,                0.95232,                 1.2175,               0.001703,               0.001703,               0.001703
                     17,                 1.3878,                 1.0094,                 1.4627,                0.83502,                0.89773,                0.93738,                0.60476,                 1.1618,                 1.0201,                 1.2094,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4254,                 1.0447,                 1.4833,                0.91087,                0.81296,                0.91682,                0.56861,                 1.0689,                0.78223,                 1.1122,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3899,                0.99504,                 1.4382,                0.87885,                0.90909,                0.92959,                0.60415,                 1.1198,                0.85457,                 1.1537,              0.0016436,              0.0016436,              0.0016436
